Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1679627740.434609,1,-32169.055303,-34626.897827,-61198.45047,-45607.102884,-187500.022352,-32347.913962,-187500.022352,-40877.116129,-35417.50138,-187500.022352,187500.0,-187500.022352,-20989.830314,-48693.007075,-52419.512262,-31017.806353
1679627740.434626,1,-32144.200163,-34607.898844,-61196.930551,-45610.634459,-187500.022352,-32354.127747,-187500.022352,-40876.847908,-35424.005738,-187500.022352,187500.0,-187500.022352,-20995.015919,-48695.89045,-52418.662896,-30996.013402
1679627740.434643,1,-32160.204012,-34628.708318,-61191.096746,-45610.187424,-187500.022352,-32350.774986,-187500.022352,-40877.585516,-35422.150543,-187500.022352,187500.0,-187500.022352,-21000.849724,-48697.745645,-52420.24987,-30995.365202
1679627740.434681,1,-32151.509184,-34613.285615,-61187.989853,-45615.015401,-187500.022352,-32351.423186,-187500.022352,-40884.335743,-35419.602444,-187500.022352,187500.0,-187500.022352,-20989.293872,-48694.258773,-52416.047742,-31034.436051
1679627740.904576,1,-32145.965951,-34619.745269,-61193.220162,-45625.386611,-187500.022352,-32352.339608,-187500.022352,-40887.196766,-35424.341014,-187500.022352,187500.0,-187500.022352,-20992.758392,-48693.834089,-52420.316925,-30998.807371
1679627740.904634,1,-32160.606344,-34620.281711,-61193.488383,-45621.564462,-187500.022352,-32344.784718,-187500.022352,-40880.84887,-35428.90077,-187500.022352,187500.0,-187500.022352,-20987.930416,-48695.599877,-52426.486007,-31017.873409
1679627740.904665,1,-32133.761899,-34593.392562,-61191.834353,-45619.552805,-187500.022352,-32349.925619,-187500.022352,-40886.079179,-35429.79484,-187500.022352,187500.0,-187500.022352,-20994.032442,-48697.767997,-52428.31885,-30999.075591
1679627740.904703,1,-32154.236097,-34617.912426,-61193.153106,-45611.036791,-187500.022352,-32349.612695,-187500.022352,-40890.080141,-35417.009642,-187500.022352,187500.0,-187500.022352,-20986.544607,-48698.393845,-52425.837806,-30983.764647
1679627740.904738,1,-32147.418815,-34611.676289,-61193.577789,-45599.123311,-187500.022352,-32349.903268,-187500.022352,-40892.315315,-35414.260377,-187500.022352,187500.0,-187500.022352,-20986.365794,-48701.344276,-52424.966088,-31015.682938
1679627740.904759,1,-32134.946541,-34599.159312,-61192.571961,-45583.521793,-187500.022352,-32343.77889,-187500.022352,-40888.426112,-35407.443095,-187500.022352,187500.0,-187500.022352,-20992.579578,-48696.27043,-52424.876681,-30982.624708
